Report Date:,"17:52:51, 07/14/2020",,,,,
693.5,-0.006,,,,,
693,-0.006,,,,,
692.5,-0.006,,,,,
692,-0.006,,,,,
691.5,-0.006,,,,,
691,-0.006,,,,,
690.5,-0.006,,,,,
690,-0.006,,,,,
689.5,-0.006,,,,,
689,-0.006,,,,,
688.5,-0.006,,,,,
688,-0.006,,,,,
687.5,-0.006,,,,,
687,-0.006,,,,,
686.5,-0.006,,,,,
686,-0.006,,,,,
685.5,-0.006,,,,,
685,-0.006,,,,,
684.5,-0.006,,,,,
684,-0.006,,,,,
683.5,-0.006,,,,,
683,-0.006,,,,,
682.5,-0.006,,,,,
682,-0.006,,,,,
681.5,-0.006,,,,,
681,-0.005,,,,,
680.5,-0.005,,,,,
680,-0.006,,,,,
679.5,-0.006,,,,,
679,-0.006,,,,,
678.5,-0.006,,,,,
678,-0.006,,,,,
677.5,-0.006,,,,,
677,-0.006,,,,,
676.5,-0.006,,,,,
676,-0.006,,,,,
675.5,-0.005,,,,,
675,-0.005,,,,,
674.5,-0.005,,,,,
674,-0.005,,,,,
673.5,-0.005,,,,,
673,-0.005,,,,,
672.5,-0.006,,,,,
672,-0.006,,,,,
671.5,-0.006,,,,,
671,-0.006,,,,,
670.5,-0.006,,,,,
670,-0.006,,,,,
669.5,-0.006,,,,,
669,-0.006,,,,,
668.5,-0.006,,,,,
668,-0.005,,,,,
667.5,-0.005,,,,,
667,-0.005,,,,,
666.5,-0.006,,,,,
666,-0.006,,,,,
665.5,-0.006,,,,,
665,-0.006,,,,,
664.5,-0.006,,,,,
664,-0.006,,,,,
663.5,-0.006,,,,,
663,-0.006,,,,,
662.5,-0.005,,,,,
662,-0.005,,,,,
661.5,-0.005,,,,,
661,-0.005,,,,,
660.5,-0.006,,,,,
660,-0.006,,,,,
659.5,-0.006,,,,,
659,-0.006,,,,,
658.5,-0.006,,,,,
658,-0.005,,,,,
657.5,-0.005,,,,,
657,-0.005,,,,,
656.5,-0.005,,,,,
656,-0.005,,,,,
655.5,-0.005,,,,,
655,-0.005,,,,,
654.5,-0.005,,,,,
654,-0.005,,,,,
653.5,-0.005,,,,,
653,-0.006,,,,,
652.5,-0.006,,,,,
652,-0.006,,,,,
651.5,-0.005,,,,,
651,-0.006,,,,,
650.5,-0.006,,,,,
650,-0.005,,,,,
649.5,-0.005,,,,,
649,-0.005,,,,,
648.5,-0.006,,,,,
648,-0.006,,,,,
647.5,-0.006,,,,,
647,-0.006,,,,,
646.5,-0.005,,,,,
646,-0.006,,,,,
645.5,-0.006,,,,,
645,-0.006,,,,,
644.5,-0.006,,,,,
644,-0.005,,,,,
643.5,-0.005,,,,,
643,-0.005,,,,,
642.5,-0.005,,,,,
642,-0.005,,,,,
641.5,-0.005,,,,,
641,-0.005,,,,,
640.5,-0.005,,,,,
640,-0.005,,,,,
639.5,-0.005,,,,,
639,-0.005,,,,,
638.5,-0.005,,,,,
638,-0.005,,,,,
637.5,-0.005,,,,,
637,-0.005,,,,,
636.5,-0.005,,,,,
636,-0.005,,,,,
635.5,-0.005,,,,,
635,-0.005,,,,,
634.5,-0.005,,,,,
634,-0.005,,,,,
633.5,-0.005,,,,,
633,-0.005,,,,,
632.5,-0.005,,,,,
632,-0.005,,,,,
631.5,-0.005,,,,,
631,-0.005,,,,,
630.5,-0.005,,,,,
630,-0.005,,,,,
629.5,-0.005,,,,,
629,-0.005,,,,,
628.5,-0.005,,,,,
628,-0.005,,,,,
627.5,-0.005,,,,,
627,-0.005,,,,,
626.5,-0.005,,,,,
626,-0.005,,,,,
625.5,-0.005,,,,,
625,-0.005,,,,,
624.5,-0.005,,,,,
624,-0.005,,,,,
623.5,-0.005,,,,,
623,-0.005,,,,,
622.5,-0.005,,,,,
622,-0.005,,,,,
621.5,-0.005,,,,,
621,-0.005,,,,,
620.5,-0.005,,,,,
620,-0.005,,,,,
619.5,-0.005,,,,,
619,-0.005,,,,,
618.5,-0.005,,,,,
618,-0.005,,,,,
617.5,-0.005,,,,,
617,-0.005,,,,,
616.5,-0.005,,,,,
616,-0.005,,,,,
615.5,-0.005,,,,,
615,-0.005,,,,,
614.5,-0.005,,,,,
614,-0.005,,,,,
613.5,-0.005,,,,,
613,-0.005,,,,,
612.5,-0.005,,,,,
612,-0.005,,,,,
611.5,-0.005,,,,,
611,-0.005,,,,,
610.5,-0.006,,,,,
610,-0.006,,,,,
609.5,-0.005,,,,,
609,-0.005,,,,,
608.5,-0.005,,,,,
608,-0.005,,,,,
607.5,-0.005,,,,,
607,-0.005,,,,,
606.5,-0.005,,,,,
606,-0.005,,,,,
605.5,-0.005,,,,,
605,-0.005,,,,,
604.5,-0.005,,,,,
604,-0.005,,,,,
603.5,-0.005,,,,,
603,-0.005,,,,,
602.5,-0.005,,,,,
602,-0.005,,,,,
601.5,-0.005,,,,,
601,-0.005,,,,,
600.5,-0.006,,,,,
600,-0.006,,,,,
599.5,-0.006,,,,,
599,-0.006,,,,,
598.5,-0.006,,,,,
598,-0.006,,,,,
597.5,-0.006,,,,,
597,-0.006,,,,,
596.5,-0.006,,,,,
596,-0.006,,,,,
595.5,-0.006,,,,,
595,-0.006,,,,,
594.5,-0.006,,,,,
594,-0.006,,,,,
593.5,-0.006,,,,,
593,-0.006,,,,,
592.5,-0.006,,,,,
592,-0.006,,,,,
591.5,-0.006,,,,,
591,-0.006,,,,,
590.5,-0.006,,,,,
590,-0.006,,,,,
589.5,-0.006,,,,,
589,-0.006,,,,,
588.5,-0.006,,,,,
588,-0.006,,,,,
587.5,-0.006,,,,,
587,-0.006,,,,,
586.5,-0.006,,,,,
586,-0.006,,,,,
585.5,-0.006,,,,,
585,-0.006,,,,,
584.5,-0.006,,,,,
584,-0.006,,,,,
583.5,-0.006,,,,,
583,-0.006,,,,,
582.5,-0.006,,,,,
582,-0.006,,,,,
581.5,-0.006,,,,,
581,-0.006,,,,,
580.5,-0.006,,,,,
580,-0.006,,,,,
579.5,-0.006,,,,,
579,-0.006,,,,,
578.5,-0.006,,,,,
578,-0.006,,,,,
577.5,-0.006,,,,,
577,-0.006,,,,,
576.5,-0.006,,,,,
576,-0.007,,,,,
575.5,-0.007,,,,,
575,-0.006,,,,,
574.5,-0.006,,,,,
574,-0.006,,,,,
573.5,-0.006,,,,,
573,-0.006,,,,,
572.5,-0.006,,,,,
572,-0.006,,,,,
571.5,-0.006,,,,,
571,-0.006,,,,,
570.5,-0.006,,,,,
570,-0.006,,,,,
569.5,-0.006,,,,,
569,-0.006,,,,,
568.5,-0.007,,,,,
568,-0.006,,,,,
567.5,-0.006,,,,,
567,-0.006,,,,,
566.5,-0.006,,,,,
566,-0.006,,,,,
565.5,-0.006,,,,,
565,-0.006,,,,,
564.5,-0.006,,,,,
564,-0.006,,,,,
563.5,-0.006,,,,,
563,-0.006,,,,,
562.5,-0.006,,,,,
562,-0.006,,,,,
561.5,-0.006,,,,,
561,-0.006,,,,,
560.5,-0.006,,,,,
560,-0.006,,,,,
559.5,-0.006,,,,,
559,-0.006,,,,,
558.5,-0.006,,,,,
558,-0.006,,,,,
557.5,-0.006,,,,,
557,-0.006,,,,,
556.5,-0.006,,,,,
556,-0.006,,,,,
555.5,-0.006,,,,,
555,-0.006,,,,,
554.5,-0.006,,,,,
554,-0.006,,,,,
553.5,-0.006,,,,,
553,-0.006,,,,,
552.5,-0.006,,,,,
552,-0.006,,,,,
551.5,-0.006,,,,,
551,-0.006,,,,,
550.5,-0.006,,,,,
550,-0.006,,,,,
549.5,-0.006,,,,,
549,-0.006,,,,,
548.5,-0.006,,,,,
548,-0.006,,,,,
547.5,-0.006,,,,,
547,-0.006,,,,,
546.5,-0.006,,,,,
546,-0.006,,,,,
545.5,-0.006,,,,,
545,-0.006,,,,,
544.5,-0.006,,,,,
544,-0.006,,,,,
543.5,-0.006,,,,,
543,-0.006,,,,,
542.5,-0.006,,,,,
542,-0.006,,,,,
541.5,-0.006,,,,,
541,-0.006,,,,,
540.5,-0.006,,,,,
540,-0.006,,,,,
539.5,-0.006,,,,,
539,-0.006,,,,,
538.5,-0.006,,,,,
538,-0.006,,,,,
537.5,-0.006,,,,,
537,-0.006,,,,,
536.5,-0.006,,,,,
536,-0.006,,,,,
535.5,-0.006,,,,,
535,-0.006,,,,,
534.5,-0.006,,,,,
534,-0.006,,,,,
533.5,-0.006,,,,,
533,-0.006,,,,,
532.5,-0.006,,,,,
532,-0.006,,,,,
531.5,-0.006,,,,,
531,-0.006,,,,,
530.5,-0.006,,,,,
530,-0.006,,,,,
529.5,-0.006,,,,,
529,-0.006,,,,,
528.5,-0.006,,,,,
528,-0.006,,,,,
527.5,-0.006,,,,,
527,-0.006,,,,,
526.5,-0.006,,,,,
526,-0.006,,,,,
525.5,-0.006,,,,,
525,-0.006,,,,,
524.5,-0.006,,,,,
524,-0.006,,,,,
523.5,-0.006,,,,,
523,-0.006,,,,,
522.5,-0.006,,,,,
522,-0.006,,,,,
521.5,-0.006,,,,,
521,-0.006,,,,,
520.5,-0.006,,,,,
520,-0.006,,,,,
519.5,-0.006,,,,,
519,-0.006,,,,,
518.5,-0.006,,,,,
518,-0.006,,,,,
517.5,-0.006,,,,,
517,-0.006,,,,,
516.5,-0.006,,,,,
516,-0.006,,,,,
515.5,-0.006,,,,,
515,-0.005,,,,,
514.5,-0.005,,,,,
514,-0.006,,,,,
513.5,-0.006,,,,,
513,-0.006,,,,,
512.5,-0.006,,,,,
512,-0.006,,,,,
511.5,-0.006,,,,,
511,-0.005,,,,,
510.5,-0.005,,,,,
510,-0.005,,,,,
509.5,-0.005,,,,,
509,-0.005,,,,,
508.5,-0.005,,,,,
508,-0.005,,,,,
507.5,-0.005,,,,,
507,-0.005,,,,,
506.5,-0.005,,,,,
506,-0.005,,,,,
505.5,-0.005,,,,,
505,-0.005,,,,,
504.5,-0.005,,,,,
504,-0.005,,,,,
503.5,-0.005,,,,,
503,-0.005,,,,,
502.5,-0.005,,,,,
502,-0.005,,,,,
501.5,-0.005,,,,,
501,-0.005,,,,,
500.5,-0.005,,,,,
500,-0.005,,,,,
499.5,-0.005,,,,,
499,-0.005,,,,,
498.5,-0.005,,,,,
498,-0.005,,,,,
497.5,-0.005,,,,,
497,-0.005,,,,,
496.5,-0.005,,,,,
496,-0.005,,,,,
495.5,-0.005,,,,,
495,-0.005,,,,,
494.5,-0.005,,,,,
494,-0.005,,,,,
493.5,-0.005,,,,,
493,-0.005,,,,,
492.5,-0.005,,,,,
492,-0.005,,,,,
491.5,-0.005,,,,,
491,-0.005,,,,,
490.5,-0.004,,,,,
490,-0.004,,,,,
489.5,-0.005,,,,,
489,-0.005,,,,,
488.5,-0.005,,,,,
488,-0.005,,,,,
487.5,-0.004,,,,,
487,-0.004,,,,,
486.5,-0.004,,,,,
486,-0.004,,,,,
485.5,-0.004,,,,,
485,-0.004,,,,,
484.5,-0.004,,,,,
484,-0.004,,,,,
483.5,-0.004,,,,,
483,-0.004,,,,,
482.5,-0.004,,,,,
482,-0.004,,,,,
481.5,-0.004,,,,,
481,-0.004,,,,,
480.5,-0.004,,,,,
480,-0.004,,,,,
479.5,-0.004,,,,,
479,-0.004,,,,,
478.5,-0.004,,,,,
478,-0.004,,,,,
477.5,-0.004,,,,,
477,-0.004,,,,,
476.5,-0.004,,,,,
476,-0.004,,,,,
475.5,-0.004,,,,,
475,-0.004,,,,,
474.5,-0.003,,,,,
474,-0.003,,,,,
473.5,-0.003,,,,,
473,-0.003,,,,,
472.5,-0.003,,,,,
472,-0.003,,,,,
471.5,-0.003,,,,,
471,-0.003,,,,,
470.5,-0.003,,,,,
470,-0.003,,,,,
469.5,-0.003,,,,,
469,-0.003,,,,,
468.5,-0.003,,,,,
468,-0.003,,,,,
467.5,-0.003,,,,,
467,-0.003,,,,,
466.5,-0.003,,,,,
466,-0.003,,,,,
465.5,-0.003,,,,,
465,-0.003,,,,,
464.5,-0.003,,,,,
464,-0.003,,,,,
463.5,-0.003,,,,,
463,-0.003,,,,,
462.5,-0.003,,,,,
462,-0.002,,,,,
461.5,-0.002,,,,,
461,-0.002,,,,,
460.5,-0.002,,,,,
460,-0.002,,,,,
459.5,-0.002,,,,,
459,-0.002,,,,,
458.5,-0.002,,,,,
458,-0.002,,,,,
457.5,-0.002,,,,,
457,-0.002,,,,,
456.5,-0.002,,,,,
456,-0.002,,,,,
455.5,-0.002,,,,,
455,-0.002,,,,,
454.5,-0.002,,,,,
454,-0.002,,,,,
453.5,-0.002,,,,,
453,-0.001,,,,,
452.5,-0.001,,,,,
452,-0.001,,,,,
451.5,-0.001,,,,,
451,-0.001,,,,,
450.5,-0.001,,,,,
450,-0.001,,,,,
449.5,-0.001,,,,,
449,-0.001,,,,,
448.5,-0.001,,,,,
448,-0.001,,,,,
447.5,-0.001,,,,,
447,-0.001,,,,,
446.5,-0.001,,,,,
446,-0.001,,,,,
445.5,0,,,,,
445,0,,,,,
444.5,0,,,,,
444,0,,,,,
443.5,0,,,,,
443,0,,,,,
442.5,0,,,,,
442,0,,,,,
441.5,0,,,,,
441,0,,,,,
440.5,0,,,,,
440,0,,,,,
439.5,0,,,,,
439,-0.001,,,,,
438.5,-0.001,,,,,
438,-0.001,,,,,
437.5,-0.001,,,,,
437,-0.001,,,,,
436.5,-0.001,,,,,
436,-0.001,,,,,
435.5,-0.001,,,,,
435,-0.001,,,,,
434.5,-0.001,,,,,
434,-0.001,,,,,
433.5,-0.001,,,,,
433,-0.001,,,,,
432.5,-0.001,,,,,
432,-0.001,,,,,
431.5,-0.001,,,,,
431,-0.001,,,,,
430.5,-0.001,,,,,
430,-0.001,,,,,
429.5,-0.001,,,,,
429,-0.001,,,,,
428.5,-0.001,,,,,
428,-0.001,,,,,
427.5,-0.001,,,,,
427,-0.001,,,,,
426.5,-0.001,,,,,
426,-0.001,,,,,
425.5,-0.001,,,,,
425,-0.001,,,,,
424.5,-0.001,,,,,
424,-0.001,,,,,
423.5,-0.001,,,,,
423,-0.001,,,,,
422.5,-0.001,,,,,
422,-0.001,,,,,
421.5,0,,,,,
421,0,,,,,
420.5,0,,,,,
420,0,,,,,
419.5,0,,,,,
419,0,,,,,
418.5,0,,,,,
418,0,,,,,
417.5,0,,,,,
417,0,,,,,
416.5,0,,,,,
416,0,,,,,
415.5,0,,,,,
415,0,,,,,
414.5,0,,,,,
414,0,,,,,
413.5,0,,,,,
413,0,,,,,
412.5,0,,,,,
412,0,,,,,
411.5,0,,,,,
411,0,,,,,
410.5,0,,,,,
410,0,,,,,
409.5,0,,,,,
409,0,,,,,
408.5,0,,,,,
408,0,,,,,
407.5,0,,,,,
407,0,,,,,
406.5,0,,,,,
406,0,,,,,
405.5,0,,,,,
405,0,,,,,
404.5,0,,,,,
404,0,,,,,
403.5,0,,,,,
403,0,,,,,
402.5,0,,,,,
402,0,,,,,
401.5,0,,,,,
401,0,,,,,
400.5,0,,,,,
400,-0.001,,,,,
399.5,-0.001,,,,,
399,-0.001,,,,,
398.5,-0.001,,,,,
398,-0.001,,,,,
397.5,-0.001,,,,,
397,-0.001,,,,,
396.5,-0.001,,,,,
396,-0.001,,,,,
395.5,-0.001,,,,,
395,-0.001,,,,,
394.5,-0.001,,,,,
394,-0.001,,,,,
393.5,-0.001,,,,,
393,-0.001,,,,,
392.5,-0.001,,,,,
392,-0.001,,,,,
391.5,-0.001,,,,,
391,-0.001,,,,,
390.5,-0.001,,,,,
390,-0.001,,,,,
389.5,-0.001,,,,,
389,-0.001,,,,,
388.5,-0.001,,,,,
388,-0.001,,,,,
387.5,-0.002,,,,,
387,-0.002,,,,,
386.5,-0.002,,,,,
386,-0.001,,,,,
385.5,-0.001,,,,,
385,-0.001,,,,,
384.5,-0.001,,,,,
384,-0.001,,,,,
383.5,-0.002,,,,,
383,-0.002,,,,,
382.5,-0.002,,,,,
382,-0.002,,,,,
381.5,-0.002,,,,,
381,-0.002,,,,,
380.5,-0.002,,,,,
380,-0.002,,,,,
379.5,-0.002,,,,,
379,-0.002,,,,,
378.5,-0.002,,,,,
378,-0.002,,,,,
377.5,-0.002,,,,,
377,-0.002,,,,,
376.5,-0.002,,,,,
376,-0.002,,,,,
375.5,-0.002,,,,,
375,-0.002,,,,,
374.5,-0.002,,,,,
374,-0.002,,,,,
373.5,-0.002,,,,,
373,-0.002,,,,,
372.5,-0.002,,,,,
372,-0.002,,,,,
371.5,-0.002,,,,,
371,-0.002,,,,,
370.5,-0.002,,,,,
370,-0.002,,,,,
369.5,-0.002,,,,,
369,-0.002,,,,,
368.5,-0.002,,,,,
368,-0.002,,,,,
367.5,-0.002,,,,,
367,-0.002,,,,,
366.5,-0.002,,,,,
366,-0.002,,,,,
365.5,-0.002,,,,,
365,-0.002,,,,,
364.5,-0.002,,,,,
364,-0.002,,,,,
363.5,-0.002,,,,,
363,-0.002,,,,,
362.5,-0.002,,,,,
362,-0.002,,,,,
361.5,-0.002,,,,,
361,-0.002,,,,,
360.5,-0.002,,,,,
360,-0.002,,,,,
359.5,-0.002,,,,,
359,-0.002,,,,,
358.5,-0.002,,,,,
358,-0.002,,,,,
357.5,-0.002,,,,,
357,-0.002,,,,,
356.5,-0.002,,,,,
356,-0.002,,,,,
355.5,-0.002,,,,,
355,-0.002,,,,,
354.5,-0.002,,,,,
354,-0.002,,,,,
353.5,-0.002,,,,,
353,-0.002,,,,,
352.5,-0.002,,,,,
352,-0.002,,,,,
351.5,-0.002,,,,,
351,-0.002,,,,,
350.5,-0.002,,,,,
350,-0.002,,,,,
349.5,-0.002,,,,,
349,-0.002,,,,,
348.5,-0.002,,,,,
348,-0.002,,,,,
347.5,-0.002,,,,,
347,-0.002,,,,,
346.5,-0.002,,,,,
346,-0.002,,,,,
345.5,-0.002,,,,,
345,-0.003,,,,,
344.5,-0.003,,,,,
344,-0.003,,,,,
343.5,-0.002,,,,,
343,-0.002,,,,,
342.5,-0.003,,,,,
342,-0.002,,,,,
341.5,-0.002,,,,,
341,-0.002,,,,,
340.5,-0.002,,,,,
340,-0.002,,,,,
339.5,0,,,,,
339,0.001,,,,,
338.5,0.002,,,,,
338,0.002,,,,,
337.5,0.002,,,,,
337,0.002,,,,,
336.5,0.002,,,,,
336,0.002,,,,,
335.5,0.002,,,,,
335,0.002,,,,,
334.5,0.002,,,,,
334,0.002,,,,,
333.5,0.002,,,,,
333,0.002,,,,,
332.5,0.002,,,,,
332,0.002,,,,,
331.5,0.002,,,,,
331,0.002,,,,,
330.5,0.002,,,,,
330,0.001,,,,,
329.5,0.001,,,,,
329,0.002,,,,,
328.5,0.002,,,,,
328,0.002,,,,,
327.5,0.002,,,,,
327,0.002,,,,,
326.5,0.001,,,,,
326,0.001,,,,,
325.5,0.001,,,,,
325,0.001,,,,,
324.5,0.001,,,,,
324,0.001,,,,,
323.5,0.001,,,,,
323,0.001,,,,,
322.5,0.001,,,,,
322,0.001,,,,,
321.5,0.001,,,,,
321,0.001,,,,,
320.5,0.001,,,,,
320,0.001,,,,,
319.5,0.001,,,,,
319,0.001,,,,,
318.5,0.001,,,,,
318,0.001,,,,,
317.5,0.001,,,,,
317,0.001,,,,,
316.5,0.001,,,,,
316,0.001,,,,,
315.5,0.001,,,,,
315,0.001,,,,,
314.5,0.001,,,,,
314,0,,,,,
313.5,0.001,,,,,
313,0.001,,,,,
312.5,0.001,,,,,
312,0.001,,,,,
311.5,0.001,,,,,
311,0.001,,,,,
310.5,0.001,,,,,
310,0.001,,,,,
309.5,0.001,,,,,
309,0.002,,,,,
308.5,0.002,,,,,
308,0.002,,,,,
307.5,0.002,,,,,
307,0.003,,,,,
306.5,0.003,,,,,
306,0.003,,,,,
305.5,0.004,,,,,
305,0.004,,,,,
304.5,0.005,,,,,
304,0.005,,,,,
303.5,0.006,,,,,
303,0.007,,,,,
302.5,0.008,,,,,
302,0.009,,,,,
301.5,0.011,,,,,
301,0.012,,,,,
300.5,0.013,,,,,
300,0.015,,,,,
299.5,0.017,,,,,
299,0.018,,,,,
298.5,0.02,,,,,
298,0.022,,,,,
297.5,0.026,,,,,
297,0.029,,,,,
296.5,0.03,,,,,
296,0.033,,,,,
295.5,0.038,,,,,
295,0.042,,,,,
294.5,0.045,,,,,
294,0.049,,,,,
293.5,0.055,,,,,
293,0.061,,,,,
292.5,0.065,,,,,
292,0.069,,,,,
291.5,0.075,,,,,
291,0.082,,,,,
290.5,0.088,,,,,
290,0.094,,,,,
289.5,0.1,,,,,
289,0.107,,,,,
288.5,0.113,,,,,
288,0.118,,,,,
287.5,0.123,,,,,
287,0.131,,,,,
286.5,0.138,,,,,
286,0.143,,,,,
285.5,0.15,,,,,
285,0.159,,,,,
284.5,0.166,,,,,
284,0.174,,,,,
283.5,0.181,,,,,
283,0.188,,,,,
282.5,0.197,,,,,
282,0.205,,,,,
281.5,0.211,,,,,
281,0.218,,,,,
280.5,0.225,,,,,
280,0.232,,,,,
279.5,0.239,,,,,
279,0.247,,,,,
278.5,0.256,,,,,
278,0.262,,,,,
277.5,0.268,,,,,
277,0.275,,,,,
276.5,0.282,,,,,
276,0.29,,,,,
275.5,0.298,,,,,
275,0.304,,,,,
274.5,0.31,,,,,
274,0.317,,,,,
273.5,0.324,,,,,
273,0.331,,,,,
272.5,0.337,,,,,
272,0.344,,,,,
271.5,0.349,,,,,
271,0.354,,,,,
270.5,0.36,,,,,
270,0.367,,,,,
269.5,0.373,,,,,
269,0.38,,,,,
268.5,0.384,,,,,
268,0.387,,,,,
267.5,0.393,,,,,
267,0.399,,,,,
266.5,0.404,,,,,
266,0.41,,,,,
265.5,0.414,,,,,
265,0.417,,,,,
264.5,0.422,,,,,
264,0.427,,,,,
263.5,0.43,,,,,
263,0.434,,,,,
262.5,0.439,,,,,
262,0.442,,,,,
261.5,0.443,,,,,
261,0.445,,,,,
260.5,0.447,,,,,
260,0.449,,,,,
259.5,0.45,,,,,
259,0.453,,,,,
258.5,0.454,,,,,
258,0.453,,,,,
257.5,0.452,,,,,
257,0.451,,,,,
256.5,0.451,,,,,
256,0.449,,,,,
255.5,0.448,,,,,
255,0.447,,,,,
254.5,0.445,,,,,
254,0.442,,,,,
253.5,0.44,,,,,
253,0.436,,,,,
252.5,0.431,,,,,
252,0.427,,,,,
251.5,0.423,,,,,
251,0.419,,,,,
250.5,0.414,,,,,
250,0.409,,,,,
